"","nation","hospitalized_with_symptoms","intensive_care","hospitalized_total","home_isolation","positives_remaining","num_positives_variation","new_positives","total_discharged_healed","total_deceased","casi_da_sospetto_diagnostico","casi_da_screening","total_cases","tests","casi_testati","note","ingressi_intensive_care","notes_test","notes_casi","positives_remaining_test_molecolare","positives_remaining_test_antigenico_rapido","tests_test_molecolare","tests_test_antigenico_rapido","dt","total_cases_delta","intensive_care_delta","hospitalized_with_symptoms_delta","home_isolation_delta","total_discharged_healed_delta","total_deceased_delta","tests_delta","new_positives_delta","positives_remaining_delta","hospitalized_total_delta","tests_per_new_positives","total_tests_per_cases_ratio","positives_remaining_previous","positives_remaining_percent_delta","deceased_per_positives_day_before_ratio","discharged_healed_per_positives_day_before_ratio"
"597","ITA",2665,370,3035,79511,82546,-1560,2494,4490388,131384,NA,NA,4704318,95761232,34869229,"",21,NA,NA,4530578,173740,61308451,34452781,2021-10-12,2486,-4,-23,-1533,3997,49,315285,978,-1560,-27,126.417401764234,20.3560286528249,84106,-1.85480227332176,0.058259814995363,4.7523363374789
"598","ITA",2552,367,2919,77532,80451,-2095,2772,4495215,131421,NA,NA,4707087,96040177,34924726,"",19,NA,NA,4533143,173944,61428982,34611195,2021-10-13,2769,-3,-113,-1979,4827,37,278945,278,-2095,-116,100.629509379509,20.403314618999,82546,-2.53797882392848,0.0448234923557774,5.84764858381993
"599","ITA",2479,359,2838,76530,79368,-1083,2668,4498924,131461,NA,NA,4709753,96364791,34985613,"",22,NA,NA,4535597,174156,61540896,34823895,2021-10-14,2666,-8,-73,-1002,3709,40,324614,-104,-1083,-81,121.669415292354,20.4606889151087,80451,-1.34616101726517,0.0497197051621484,4.61025966116021
"600","ITA",2445,357,2802,75720,78522,-846,2732,4502457,131503,NA,NA,4712482,96870834,35086597,"",20,NA,NA,4538022,174460,61650555,35220279,2021-10-15,2729,-2,-34,-810,3533,42,506043,64,-846,-36,185.22803806735,20.5562236630294,79368,-1.06592077411551,0.0529180526156637,4.45141618788429
"601","ITA",2371,352,2723,75348,78071,-451,2983,4505876,131517,NA,NA,4715464,97343369,35176565,"",12,NA,NA,4540707,174757,61765276,35578093,2021-10-16,2982,-5,-74,-372,3419,14,472535,251,-451,-79,158.409319477037,20.6434338169054,78522,-0.574361325488398,0.0178293981304603,4.35419372914597
"602","ITA",2386,349,2735,74834,77569,-502,2437,4508789,131541,NA,NA,4717899,97724420,35237861,"",15,NA,NA,4543006,174893,61844834,35879586,2021-10-17,2435,-3,15,-514,2913,24,381051,-546,-502,12,156.360689372179,20.7135464324268,78071,-0.643004444672157,0.0307412483508601,3.73121901858565
"603","ITA",2428,358,2786,73577,76363,-1206,1597,4511545,131585,NA,NA,4719493,97944298,35273695,"",26,NA,NA,4544439,175054,61889258,36055040,2021-10-18,1594,9,42,-1257,2756,44,219878,-840,-1206,51,137.681903569192,20.7531397970079,77569,-1.5547448078485,0.0567236911652851,3.55296574662559
"604","ITA",2423,355,2778,71768,74546,-1817,2697,4515987,131655,NA,NA,4722188,98606298,35359040,"",27,NA,NA,4546700,175488,62002436,36603862,2021-10-19,2695,-3,-5,-1809,4442,70,662000,1100,-1817,-8,245.457916203189,20.8814850234679,76363,-2.37942459044302,0.0916674305619214,5.81695323651507
"605","ITA",2464,355,2819,70849,73668,-878,3702,4520531,131688,NA,NA,4725887,99091911,35430796,"",25,NA,NA,4550114,175773,62124122,36967789,2021-10-20,3699,0,41,-919,4544,33,485613,1005,-878,41,131.17585089141,20.967896820216,74546,-1.17779626002737,0.0442679687709602,6.09556515440131
"606","ITA",2439,356,2795,70955,73750,82,3794,4524204,131724,NA,NA,4729678,99666582,35496496,"",22,NA,NA,4553566,176112,62238970,37427612,2021-10-21,3791,1,-25,106,3673,36,574671,92,82,-24,151.468371112283,21.0725935253943,73668,0.111310202530271,0.0488678937937775,4.98588260845958
"607","ITA",2443,343,2786,70943,73729,-21,3882,4528065,131763,NA,NA,4733557,100153800,35560633,"",22,NA,NA,4557247,176310,62351624,37802176,2021-10-22,3879,-13,4,-12,3861,39,487218,88,-21,-9,125.506955177743,21.1582537191376,73750,-0.0284745762711864,0.0528813559322034,5.23525423728814
"608","ITA",2455,338,2793,71223,74016,287,3908,4531644,131802,NA,NA,4737462,100645374,35624315,"",20,NA,NA,4560812,176650,62457189,38188185,2021-10-23,3905,-5,12,280,3579,39,491574,26,287,7,125.78659160696,21.2445765264186,73729,0.389263383471904,0.052896417963081,4.85426358691967
"609","ITA",2473,341,2814,71961,74775,759,3725,4534584,131826,NA,NA,4741185,101049089,35678991,"",18,NA,NA,4564348,176837,62540445,38508644,2021-10-24,3723,3,18,738,2940,24,403715,-183,759,21,108.379865771812,21.3130449455147,74016,1.02545395590143,0.0324254215304799,3.97211413748379
"610","ITA",2579,338,2917,71737,74654,-121,2535,4537210,131856,NA,NA,4743720,101271474,35709838,"",16,NA,NA,4566700,177020,62589472,38682002,2021-10-25,2535,-3,106,-224,2626,30,222385,-1190,-121,103,87.7258382642998,21.3485353267056,74775,-0.161818789702441,0.0401203610832497,3.5118689401538
"611","ITA",2604,341,2945,72101,75046,392,4054,4540823,131904,NA,NA,4747773,101911219,35778002,"",37,NA,NA,4570236,177537,62702807,39208412,2021-10-26,4053,3,25,364,3613,48,639745,1519,392,28,157.805870744943,21.4650571962897,74654,0.525089077611381,0.0642966217483323,4.8396602995151
"612","ITA",2615,341,2956,72409,75365,319,4598,4545049,131954,NA,NA,4752368,102379323,35839956,"",27,NA,NA,4574500,177868,62828246,39551077,2021-10-27,4595,0,11,308,4226,50,468104,544,319,11,101.80600260983,21.5428020304825,75046,0.425072622125097,0.0666258028409242,5.63121285611492
"613","ITA",2609,347,2956,73822,76778,1413,4866,4548449,132004,NA,NA,4757231,102949658,35900791,"",32,NA,NA,4579059,178172,62951716,39997942,2021-10-28,4863,6,-6,1413,3400,50,570335,268,1413,0,117.208179202631,21.6406682795097,75365,1.87487560538712,0.0663437935381145,4.51137796059179
"614","ITA",2658,349,3007,75637,78644,1866,5335,4551882,132037,NA,NA,4762563,103424436,35959934,"",18,NA,NA,4584087,178476,63079137,40345299,2021-10-29,5332,2,49,1815,3433,33,474778,469,1866,51,88.9930646672915,21.7161297393861,76778,2.43038370366511,0.0429810622834666,4.47133293391336
"615","ITA",2707,346,3053,77328,80381,1737,4878,4554985,132074,NA,NA,4767440,103901788,36020618,"",20,NA,NA,4588510,178930,63187420,40714368,2021-10-30,4877,-3,49,1691,3103,37,477352,-457,1737,46,97.8581385813858,21.7940420854798,78644,2.20868724886832,0.0470474543512538,3.94562840140379
"616","ITA",2754,342,3096,79352,82448,2067,4526,4557417,132100,NA,NA,4771965,104251958,36077911,"",17,NA,NA,4592777,179188,63271453,40980505,2021-10-31,4525,-4,47,2024,2432,26,350170,-352,2067,43,77.3685373398144,21.8467566296065,80381,2.57150321593411,0.032345952401687,3.0255906246501
"617","ITA",2863,364,3227,80495,83722,1274,2818,4558941,132120,NA,NA,4774783,104398683,36105689,"",33,NA,NA,4595482,179301,63316846,41081837,2021-11-01,2818,22,109,1143,1524,20,146725,-1708,1274,131,52.0670688431512,21.864592170995,82448,1.54521637880846,0.0242577139530371,1.84843780322142
"618","ITA",2992,385,3377,81070,84447,725,2834,4561006,132161,NA,NA,4777614,104637037,36140579,"",34,NA,NA,4598052,179562,63378327,41258710,2021-11-02,2831,21,129,575,2065,41,238354,16,725,150,84.1051517290049,21.9015259499826,83722,0.865961157162992,0.0489715964740451,2.46649626143666
"619","ITA",3029,381,3410,81877,85287,840,5188,4565291,132224,NA,NA,4782802,105354348,36207265,"",31,NA,NA,4602393,180409,63507841,41846507,2021-11-03,5188,-4,37,807,4285,63,717311,2354,840,33,138.263492675405,22.027746078554,84447,0.994706739138158,0.0746030054353618,5.07418854429405
"620","ITA",3045,383,3428,83948,87376,2089,5905,4569045,132283,NA,NA,4788704,105868977,36272129,"",36,NA,NA,4607812,180892,63645336,42223641,2021-11-04,5902,2,16,2071,3754,59,514629,717,2089,18,87.1513971210838,22.1080645201708,85287,2.44937681006484,0.0691781865935019,4.40160868596621
"621","ITA",3124,395,3519,86837,90356,2980,6764,4572775,132334,NA,NA,4795465,106412391,36334537,"",37,NA,NA,4614013,181452,63773771,42638620,2021-11-05,6761,12,79,2889,3730,51,543414,859,2980,91,80.33914843288,22.1902132535635,87376,3.41054751876946,0.0583684306903497,4.26890679362754
"622","ITA",3173,392,3565,90128,93693,3337,6764,4576167,132365,NA,NA,4802225,106904353,36400705,"",23,NA,NA,4620205,182020,63906880,42997473,2021-11-06,6760,-3,49,3291,3392,31,491962,0,3337,46,72.7324068598463,22.2614211120887,90356,3.6931692416663,0.0343087343397229,3.75403957678516
"623","ITA",3215,398,3613,93380,96987,3294,5822,4578669,132385,NA,NA,4808047,107339124,36453042,"",26,NA,NA,4625604,182443,64006304,43332820,2021-11-07,5822,6,42,3252,2502,20,434771,-942,3294,48,74.6772586739952,22.32489075086,93693,3.51573756844161,0.021346311890963,2.67042361755948
"624","ITA",3362,415,3777,94998,98775,1788,4197,4581396,132423,NA,NA,4812594,107588239,36489224,"",35,NA,NA,4629847,182747,64068951,43519288,2021-11-08,4547,17,147,1618,2727,38,249115,-1625,1788,164,59.3554920181082,22.3555610550152,96987,1.84354604225309,0.0391805087279739,2.8117170342417
"625","ITA",3436,421,3857,96348,100205,1430,6032,4586009,132491,NA,NA,4818705,108233928,36555207,"",52,NA,NA,4635128,183577,64198051,44035877,2021-11-09,6111,6,74,1350,4613,68,645689,1835,1430,80,107.043932360743,22.461206485975,98775,1.44773475069603,0.0688433308023285,4.67021007339914
"626","ITA",3447,423,3870,98989,102859,2654,7891,4591328,132551,NA,NA,4826738,108721546,36622425,"",34,NA,NA,4642418,184320,64344604,44376942,2021-11-10,8033,2,11,2641,5319,60,487618,1859,2654,13,61.7941959194019,22.5248492874484,100205,2.64857043061723,0.05987725163415,5.3081183573674
"627","ITA",3509,422,3931,102989,106920,4061,8569,4595897,132618,NA,NA,4835435,109317358,36687526,"",37,NA,NA,4650544,184891,64490144,44827214,2021-11-11,8697,-1,62,4000,4569,67,595812,678,4061,61,69.5311004784689,22.6075540256461,102859,3.94812315888741,0.0651377127912968,4.44200313049903
"628","ITA",3525,445,3970,106689,110659,3739,8516,4600612,132686,NA,NA,4843957,109816293,36751114,"",47,NA,NA,4658259,185698,64623457,45192836,2021-11-12,8522,23,16,3700,4715,68,498935,-53,3739,39,58.5879520901832,22.6707819660662,106920,3.49700710811822,0.0635989524878414,4.40983913206135
"629","ITA",3597,453,4050,111062,115112,4453,8544,4604645,132739,NA,NA,4852496,110356664,36818073,"",39,NA,NA,4665891,186605,64758767,45597897,2021-11-13,8539,8,72,4373,4033,53,540371,28,4453,80,63.2456694756554,22.742247288818,110659,4.02407395693075,0.0478948842841522,3.64452959090539
"630","ITA",3647,458,4105,115125,119230,4118,7569,4608056,132775,NA,NA,4860061,110802257,36876596,"",29,NA,NA,4672800,187261,64864335,45937922,2021-11-14,7565,5,50,4063,3411,36,445593,-975,4118,55,58.8707887435593,22.7985321583412,115112,3.57738550281465,0.0312738897769129,2.9632010563625
"631","ITA",3808,475,4283,116592,120875,1645,5144,4611566,132819,NA,NA,4865260,111051082,36911565,"",41,NA,NA,4677651,187609,64929977,46121105,2021-11-15,5199,17,161,1467,3510,44,248825,-2425,1645,178,48.3718895800933,22.8253129329162,119230,1.37968632055691,0.0369034638933154,2.94388996058039
"632","ITA",3970,481,4451,118945,123396,2521,7698,4616786,132893,NA,NA,4873075,111735792,36983718,"",41,NA,NA,4684065,189010,65078921,46656871,2021-11-16,7815,6,162,2353,5220,74,684710,2554,2521,168,88.9464796050922,22.9292165624375,120875,2.08562564632885,0.0612202688728025,4.31851085832472
"633","ITA",4060,486,4546,122539,127085,3689,10172,4623192,132965,NA,NA,4883242,112273557,37055239,"",39,NA,NA,4693144,190098,65254872,47018685,2021-11-17,10167,5,90,3594,6406,72,537765,2474,3689,95,52.8671844278411,22.9916020954931,123396,2.98956206035852,0.0583487309151026,5.19141625336316
"634","ITA",4088,503,4591,127922,132513,5428,10638,4628340,133034,NA,NA,4893887,112899331,37126648,"",55,NA,NA,4702837,191050,65417133,47482198,2021-11-18,10645,17,28,5383,5148,69,625774,466,5428,45,58.8244030832863,23.0694601244369,127085,4.27115709957902,0.0542943699099028,4.05083212023449
"635","ITA",4145,512,4657,132473,137130,4617,10544,4634229,133082,NA,NA,4904441,113437819,37198784,"",39,NA,NA,4712509,191932,65576766,47861053,2021-11-19,10554,9,57,4551,5889,48,538488,-94,4617,66,51.0705614567527,23.1296123248297,132513,3.48418645717779,0.0362228611532453,4.44409227773879
"636","ITA",4250,512,4762,138639,143401,6271,11555,4639449,133131,NA,NA,4915981,114012631,37274564,"",50,NA,NA,4722639,193342,65732775,48279856,2021-11-20,11540,0,105,6166,5220,49,574812,1011,6271,105,49.7457377758546,23.1922440302353,137130,4.57303288849996,0.035732516590097,3.80660686939401
"637","ITA",4345,520,4865,143895,148760,5359,9709,4643751,133177,NA,NA,4925688,114499740,37340316,"",35,NA,NA,4731444,194244,65859791,48639949,2021-11-21,9707,8,95,5256,4302,46,487109,-1846,5359,103,50.1708723864456,23.2454308920906,143401,3.73707296322899,0.0320778795126952,2.9999790796438
"638","ITA",4507,549,5056,146458,151514,2754,6404,4647330,133247,NA,NA,4932091,114767310,37377595,"",54,NA,NA,4737392,194699,65933097,48834213,2021-11-22,6403,29,162,2563,3579,70,267570,-3305,2754,191,41.7816989381637,23.2695037459771,148760,1.85130411400914,0.0470556601236892,2.40588867975262
"639","ITA",4597,560,5157,149353,154510,2996,10047,4654295,133330,NA,NA,4942135,115456590,37452240,"",61,NA,NA,4745794,196341,66090711,49365879,2021-11-23,10044,11,90,2895,6965,83,689280,3643,2996,101,68.6055538966856,23.361682754518,151514,1.97737502805021,0.0547804163311641,4.59693493670552
"640","ITA",4629,573,5202,154115,159317,4807,12448,4661853,133415,NA,NA,4954585,116019095,37530712,"",49,NA,NA,4756693,197892,66278086,49741009,2021-11-24,12450,13,32,4762,7558,85,562505,2401,4807,45,45.1883836760925,23.4165111709659,154510,3.11112549349557,0.0550126205423597,4.89159277716653
"641","ITA",4689,588,5277,161321,166598,7281,13764,4668257,133486,NA,NA,4968341,116669093,37610375,"",57,NA,NA,4769052,199289,66454367,50214726,2021-11-25,13756,15,60,7206,6404,71,649998,1316,7281,75,47.2244986922406,23.4825051259565,159317,4.57013375848152,0.0445652378591111,4.01965891901053
"642","ITA",4748,606,5354,167264,172618,6020,13686,4675867,133537,NA,NA,4982022,117226273,37686249,"",58,NA,NA,4781272,200750,66622177,50604096,2021-11-26,13681,18,59,5943,7610,51,557180,-78,6020,77,40.7116761654245,23.5298585594363,166598,3.61348875736804,0.0306126123963073,4.56788196737056
"643","ITA",4826,624,5450,173496,178946,6328,12877,4682318,133627,NA,NA,4994891,117823171,37757547,"",68,NA,NA,4793225,201666,66793350,51029821,2021-11-27,12869,18,78,6232,6451,90,596898,-809,6328,96,46.3538091170304,23.588737171642,172618,3.66589811027819,0.0521382474597087,3.73715371513979
"644","ITA",4964,638,5602,180841,186443,7497,12932,4687701,133674,NA,NA,5007818,118335763,37837579,"",39,NA,NA,4804631,203187,66928963,51406800,2021-11-28,12927,14,138,7345,5383,47,512592,55,7497,152,39.6374884008661,23.6302044123808,178946,4.18953203759793,0.0262649067316397,3.00817006247695
"645","ITA",5135,669,5804,183839,189643,3200,7975,4692408,133739,NA,NA,5015790,118611763,37877849,"",58,NA,NA,4811791,203999,67009417,51602346,2021-11-29,7972,31,171,2998,4707,65,276000,-4957,3200,202,34.6081504702194,23.6476732478832,186443,1.71634226010094,0.0348632021583004,2.52463219321723
"646","ITA",5227,683,5910,188360,194270,4627,12764,4700449,133828,NA,NA,5028547,119331735,37958214,"",64,NA,NA,4821623,206924,67180429,52151306,2021-11-30,12757,14,92,4521,8041,89,719972,4789,4627,106,56.406455656534,23.7308580391115,189643,2.43984750293973,0.0469302847982789,4.24007213553888
"647","ITA",5248,686,5934,193849,199783,5513,15085,4709906,133931,NA,NA,5043620,119905510,38042146,"",62,NA,NA,4834565,209055,67376786,52528724,2021-12-01,15073,3,21,5489,9457,103,573775,2321,5513,24,38.0361286045741,23.773700239114,194270,2.83780305760025,0.0530189941833531,4.86796726205796
"648","ITA",5298,698,5996,202875,208871,9088,16806,4717556,134003,NA,NA,5060430,120584972,38129601,"",55,NA,NA,4849267,211163,67574694,53010278,2021-12-02,16810,12,50,9026,7650,72,679462,1721,9088,62,40.4297274782816,23.8289971405592,199783,4.54893559512071,0.0360391024261324,3.82915463277656
"649","ITA",5385,708,6093,210061,216154,7283,17030,4727214,134077,NA,NA,5077445,121173417,38213164,"",60,NA,NA,4864069,213376,67759212,53414205,2021-12-03,17015,10,87,7186,9658,74,588445,224,7283,97,34.5534351145038,23.8650378290656,208871,3.48684116033341,0.0354285659569782,4.62390662179048
"650","ITA",5428,732,6160,217558,223718,7564,16632,4736202,134152,NA,NA,5094072,121810009,38301193,"",59,NA,NA,4879346,214726,67938532,53871477,2021-12-04,16627,24,43,7497,8988,75,636592,-398,7564,67,38.2751322751323,23.9121098013534,216154,3.49935693995947,0.0346974842010789,4.15814650665729
"651","ITA",5597,736,6333,225667,232000,8282,15021,4742887,134195,NA,NA,5109082,122335117,38373389,"",45,NA,NA,4891645,217437,68082495,54252622,2021-12-05,15010,4,169,8109,6685,43,525108,-1611,8282,173,34.9582584381865,23.9446376080869,223718,3.70198195943107,0.0192206259666187,2.98813685085688
"652","ITA",5879,743,6622,229213,235835,3835,9503,4748454,134287,NA,NA,5118576,122636677,38416484,"",45,NA,NA,4900148,218428,68170338,54466339,2021-12-06,9494,7,282,3546,5567,92,301560,-5518,3835,289,31.7331369041355,23.9591396122672,232000,1.65301724137931,0.0396551724137931,2.39956896551724
"653","ITA",6078,776,6854,234040,240894,5059,15756,4759038,134386,NA,NA,5134318,123331813,38496689,"",89,NA,NA,4912021,222297,68339652,54992161,2021-12-07,15742,33,199,4827,10584,99,695136,6253,5059,232,44.1188118811881,24.0210701791358,235835,2.14514385057349,0.0419785019187144,4.48788347785528
"654","ITA",6099,791,6890,242324,249214,8320,17959,4768578,134472,NA,NA,5152264,123896511,38578774,"",62,NA,NA,4927371,224893,68530979,55365532,2021-12-08,17946,15,21,8284,9540,86,564698,2203,8320,36,31.4437329472688,24.0470036085107,240894,3.4538012569844,0.0357003495313291,3.96024807591721
"655","ITA",6333,811,7144,247409,254553,5339,12527,4775676,134551,NA,NA,5164780,124209339,38628455,"",69,NA,NA,4938576,226204,68639490,55569849,2021-12-09,12516,20,234,5085,7098,79,312828,-5432,5339,254,24.9722998323621,24.0492990988968,249214,2.14233550282087,0.0316996637428074,2.84815459805629
"656","ITA",6483,816,7299,255849,263148,8595,20497,4787453,134669,NA,NA,5185270,124925626,38715745,"",76,NA,NA,4955026,230244,68822803,56102823,2021-12-10,20490,5,150,8440,11777,118,716287,7970,8595,155,34.9459433087769,24.0924052170861,254553,3.37650705354091,0.0463557687397124,4.62654142752197
"657","ITA",6539,818,7357,266525,273882,10734,21042,4797658,134765,NA,NA,5206305,125490703,38805999,"",76,NA,NA,4972406,233899,69019027,56471676,2021-12-11,21035,2,56,10676,10205,96,565077,545,10734,58,26.8547191331622,24.1036018827172,263148,4.07907337315883,0.0364813716995759,3.87804581452263
"658","ITA",6697,829,7526,277351,284877,10995,19215,4805809,134831,NA,NA,5225517,125992518,38880750,"",54,NA,NA,4988281,237236,69174889,56817629,2021-12-12,19212,11,158,10826,8151,66,501815,-1827,10995,169,26.1157949518605,24.111014852693,273882,4.0145025960085,0.0240979691984139,2.97609919600412
"659","ITA",6951,856,7807,282950,290757,5880,12712,4812535,134929,NA,NA,5238221,126306054,38925453,"",60,NA,NA,4999503,238718,69269958,57036096,2021-12-13,12704,27,254,5599,6726,98,313536,-6503,5880,281,24.6645689112649,24.1123950287703,284877,2.06404869469982,0.0344008115783303,2.3610189660801
"660","ITA",7163,863,8026,289368,297394,6637,20677,4826443,135049,NA,NA,5258886,127082617,39017409,"",93,NA,NA,5014587,244299,69458008,57624609,2021-12-14,20665,7,212,6418,13908,120,776563,7965,6637,219,37.5568506069546,24.1653112465264,290757,2.28266215430755,0.0412715772965053,4.78337580866497
"661","ITA",7309,870,8179,297474,305653,8259,23195,4841245,135178,NA,NA,5282076,127717255,39110490,"",84,NA,NA,5033424,248652,69677195,58040060,2021-12-15,23190,7,146,8106,14802,129,634638,2518,8259,153,27.3609829704678,24.1793671654857,297394,2.77712395004607,0.0433767998009375,4.97723558646106
"662","ITA",7338,917,8255,309675,317930,12277,26109,4854949,135301,NA,NA,5308180,128435536,39209761,"",101,NA,NA,5055500,252680,69890580,58544956,2021-12-16,26104,47,29,12201,13704,123,718281,2914,12277,76,27.5108583247156,24.1957763301169,305653,4.0166463276984,0.0402417120067528,4.48351562065479
"663","ITA",7520,923,8443,323525,331968,14038,28632,4869406,135421,NA,NA,5336795,129104696,39306093,"",70,NA,NA,5078138,258657,70101368,59003328,2021-12-17,28615,6,182,13850,14457,120,669160,2523,14038,188,23.3710533668623,24.1914287507764,317930,4.41543736042525,0.0377441575189507,4.54722737709559
"664","ITA",7576,953,8529,338943,347472,15504,28064,4881836,135544,NA,NA,5364852,129802436,39408093,"",95,NA,NA,5100360,264492,70319725,59482711,2021-12-18,28057,30,56,15418,12430,123,697740,-568,15504,86,24.8624572405929,24.194970522952,331968,4.67032967032967,0.0370517640254482,3.74433680354733
"665","ITA",7726,966,8692,353583,362275,14803,24259,4891239,135641,NA,NA,5389155,130368736,39493154,"",78,NA,NA,5119657,269498,70495451,59873285,2021-12-19,24303,13,150,14640,9403,97,566300,-3805,14803,163,23.3439135990766,24.1909419936892,347472,4.26019938297186,0.0279159184049362,2.70611732743933
"666","ITA",8101,987,9088,360615,369703,7428,16213,4899879,135778,NA,NA,5405360,130705958,39537534,"",73,NA,NA,5133125,272235,70598903,60107055,2021-12-20,16205,21,375,7032,8640,137,337222,-8046,7428,396,20.799481897243,24.1808053487649,362275,2.05037609550756,0.0378165758056725,2.38492857635774
"667","ITA",8381,1012,9393,374751,384144,14441,30798,4916068,135931,NA,NA,5436143,131557823,39648036,"",96,NA,NA,5153722,282421,70810613,60747210,2021-12-21,30783,25,280,14136,16189,153,851865,14585,14441,305,27.659750633158,24.2005817359845,369703,3.90610841675615,0.0413845708582294,4.37892037662664
"668","ITA",8544,1010,9554,393175,402729,18585,36293,4933663,136077,NA,NA,5472469,132337126,39766135,"",92,NA,NA,5179314,293155,71055692,61281434,2021-12-22,36326,-2,163,18424,17595,146,779303,5495,18585,161,21.4725429146116,24.1823436551217,384144,4.83802948894165,0.0380065808655088,4.58031363238785
"669","ITA",8722,1023,9745,420284,430029,27300,44595,4950780,136245,NA,NA,5517054,133238576,39900805,"",93,NA,NA,5211207,305847,71317437,61921139,2021-12-23,44585,13,178,27109,17117,168,901450,8302,27300,191,20.2141495683373,24.1503121049749,402729,6.77875196472069,0.0417153967059735,4.2502526512866
"670","ITA",8812,1038,9850,450824,460674,30645,50599,4970584,136386,NA,NA,5567644,134168351,40062609,"",102,NA,NA,5246587,321057,71595127,62573224,2021-12-24,50590,15,90,30540,19804,141,929775,6004,30645,105,18.3753631494694,24.0978681467421,430029,7.12626357757267,0.0327884863578968,4.60527080731765
"671","ITA",8892,1071,9963,490503,500466,39792,54762,4985435,136530,NA,NA,5622431,135138103,40214187,"",106,NA,NA,5285835,336596,71860000,63278103,2021-12-25,54787,33,80,39679,14851,144,969752,4163,39792,113,17.7084839852452,24.0355289375717,460674,8.63777855924146,0.0312585472590161,3.22375475933089
"672","ITA",9220,1089,10309,506530,516839,16373,24883,4993863,136611,NA,NA,5647313,135355155,40263888,"",85,NA,NA,5308366,338947,71974179,63380976,2021-12-26,24882,18,328,16027,8428,81,217052,-29879,16373,346,8.72290318691476,23.9680632187378,500466,3.27155091454764,0.0161849156586062,1.68403048358929
"673","ITA",9723,1126,10849,526655,537504,20665,30810,5003855,136753,NA,NA,5678112,135699123,40327460,"",100,NA,NA,5329644,348468,72087933,63611190,2021-12-27,30799,37,503,20125,9992,142,343968,5927,20665,540,11.1641674780915,23.8986344404619,516839,3.99834377823655,0.027474706823595,1.93329063789691
"674","ITA",10089,1145,11234,587634,598868,61364,78313,5020601,136943,NA,NA,5756412,136733800,40495149,"",119,NA,NA,5370720,385692,72335409,64398391,2021-12-28,78300,19,366,60979,16746,190,1034677,47503,61364,385,13.2120720697713,23.7533032729415,537504,11.4164731797345,0.0353485741501459,3.11551169851759
"675","ITA",10578,1185,11763,663102,674865,75997,98030,5042472,137091,NA,NA,5854428,137763229,40689614,"",126,NA,NA,5430667,423761,72652945,65110284,2021-12-29,98016,40,489,75468,21871,148,1029429,19717,75997,529,10.5011629093135,23.5314584106253,598868,12.6901086716939,0.0247132924116834,3.65205688064816
"676","ITA",10866,1226,12092,767371,779463,104598,126888,5064718,137247,NA,NA,5981428,138913581,40905632,"",134,NA,NA,5507443,473985,72990973,65922608,2021-12-30,127000,41,288,104269,22246,156,1150352,28858,104598,329,9.06588487485026,23.2241499855887,674865,15.499099819964,0.0231157342579627,3.29636297629896
"677","ITA",11150,1260,12410,888574,900984,121521,144243,5087297,137402,NA,NA,6125683,140137606,41145671,"",119,NA,NA,5587230,538453,73357137,66780469,2021-12-31,144255,34,284,121203,22579,155,1224025,17355,121521,318,8.48585373293678,22.8770581174377,779463,15.5903487400941,0.0198854852635725,2.8967378823626
"678","ITA",11265,1297,12562,1009231,1021793,120809,141358,5107729,137513,NA,NA,6267035,141268542,41329516,"",135,NA,NA,5666599,600436,73690819,67577723,2022-01-01,141352,37,115,120657,20432,111,1130936,-2885,120809,152,8.00050934506713,22.5415275325573,900984,13.4085621942232,0.0123198636157801,2.26774282340197
"679","ITA",11756,1319,13075,1057462,1070537,48744,61046,5119893,137646,NA,NA,6328076,141547196,41421590,"",104,NA,NA,5714553,613523,73856391,67690805,2022-01-02,61041,22,491,48231,12164,133,278654,-80312,48744,513,4.56465616092783,22.3681251615815,1021793,4.77043784797899,0.013016335011103,1.19045638402299
"680","ITA",12333,1351,13684,1111368,1125052,54515,68052,5133272,137786,NA,NA,6396110,141992517,41510822,"",103,NA,NA,5759069,637041,74013084,67979433,2022-01-03,68034,32,577,53906,13379,140,445321,7006,54515,609,6.54383412684418,22.199824111843,1070537,5.09230414268727,0.0130775489310505,1.24974662248946
"681","ITA",12912,1392,14304,1250993,1265297,140245,170844,5163605,138045,NA,NA,6566947,143220927,41719220,"",153,NA,NA,5826648,740299,74299160,68921767,2022-01-04,170837,41,579,139625,30333,259,1228410,102792,140245,620,7.19024373112313,21.8093624023462,1125052,12.4656460323612,0.0230211581331352,2.69614204498992
"682","ITA",13364,1428,14792,1406325,1421117,155820,189109,5196642,138276,NA,NA,6756035,144315182,41928155,"",132,NA,NA,5918596,837439,74662839,69652343,2022-01-05,189088,36,452,155332,33037,231,1094255,18265,155820,488,5.78637188076718,21.3609287104048,1265297,12.314895238035,0.0182565832369791,2.61100753419948
"683","ITA",13827,1467,15294,1578285,1593579,172462,219441,5243412,138474,NA,NA,6975465,145453492,42171448,"",177,NA,NA,6014907,960558,75023110,70430382,2022-01-06,219430,39,463,171960,46770,198,1138310,30332,172462,502,5.18731686421407,20.8521570963369,1421117,12.1356651141321,0.0139327022335248,3.29107314879774
"684","ITA",14591,1499,16090,1657981,1674071,80492,108304,5270994,138697,NA,NA,7083762,145945664,42287504,"",120,NA,NA,6080761,1003001,75250881,70694783,2022-01-07,108297,32,764,79696,27582,223,492172,-111137,80492,796,4.54435662579406,20.602846905359,1593579,5.05102037614702,0.013993658299965,1.73082100102976
